SCHOOL_ID,SCHOOL_NM,the_geom,UNIT_ID,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y
610013,PILSEN,POINT (-87.66220819809017 41.85880772397302),4210,1420 W 17TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Elementary School,-87.6622081986,41.858807725
610015,JUNGMAN,POINT (-87.65224654207428 41.85806565907979),4230,1746 S MILLER ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6522465417,41.8580656603
610071,MEDILL,POINT (-87.65909662537791 41.86334255111902),4810,1301 W 14TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6590966259,41.8633425517
610075,MONTEFIORE ALT,POINT (-87.66638916685446 41.86472480738383),4860,1310 S ASHLAND AVE,ES,"5, 6, 7, 8",Elementary School,-87.6663891667,41.8647248078
610125,RUIZ,POINT (-87.68068949130789 41.8481018230113),5390,2410 S LEAVITT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6806894915,41.8481018235
610129,PICKARD,POINT (-87.68329075218755 41.852941558230576),5430,2301 W 21ST PL,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6832907521,41.8529415595
610131,PLAMONDON,POINT (-87.69252459134071 41.8602177457755),5450,2642 W 15TH PL,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6925245912,41.8602177466
610180,SMYTH,POINT (-87.65344534818128 41.86539218100261),5970,1059 W 13TH ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6534453485,41.865392182
610216,WALSH,POINT (-87.64814121432939 41.8548348578429),6320,2015 S PEORIA ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6481412138,41.8548348588
610228,WHITTIER,POINT (-87.67339046489975 41.85043973440658),6450,1900 W 23RD ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7",Elementary School,-87.6733904646,41.8504397352
610306,DE LA CRUZ,POINT (-87.68382405040207 41.849291048816646),7330,2317 W 23RD PL,MS,8,Elementary School,-87.683824051,41.84929105
610329,OROZCO,POINT (-87.6752095452831 41.85771365355449),7610,1940 W 18TH ST,ES,"1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6752095448,41.8577136547
609682,RICHARDS HS,POINT (-87.66233284846568 41.8028806086437),1110,5009 S LAFLIN ST,HS,"9, 10, 11, 12",High School,-87.6623328487,41.8028806093
609735,TILDEN HS,POINT (-87.6430214857515 41.80750916803032),1590,4747 S UNION AVE,HS,"9, 10, 11, 12",High School,-87.6430214854,41.807509169
609771,ABBOTT,POINT (-87.63270195209944 41.828146021786885),2010,3630 S WELLS ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6327019525,41.8281460228
609781,ATTUCKS,POINT (-87.62757362285201 41.82502556558214),2100,3813 S DEARBORN ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6275736228,41.8250255665
609885,DEWEY,POINT (-87.64270657256412 41.79564481079354),3030,5415 S UNION AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6427065723,41.7956448113
609929,FULTON,POINT (-87.6683809006764 41.797581616531566),3450,5300 S HERMITAGE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6683809003,41.7975816177
609947,GRAHAM ES,POINT (-87.64328922883048 41.81330482194764),3600,4436 S UNION AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6432892288,41.8133048223
609952,"GREENE, N",POINT (-87.67154739254629 41.82966840646441),3650,3525 S HONORE ST,ES,"K, 1, 2, 3, 4, 5",Elementary School,-87.671547392,41.8296684074
609964,HAMLINE,POINT (-87.66122966314688 41.80724073478007),3740,4747 S BISHOP ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6612296627,41.8072407354
609983,HEDGES,POINT (-87.67338226273392 41.80711124098283),3900,4747 S WINCHESTER AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6733822631,41.8071112417
609987,HENDRICKS,POINT (-87.6336094636734 41.81578870775737),3930,4316 S PRINCETON AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6336094639,41.8157887089
609993,LARA,POINT (-87.67223660343963 41.80976959280095),3980,4619 S WOLCOTT AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6722366031,41.8097695937
610430,BRONZEVILLE LIGHTHOUSE CHARTER,POINT (-87.62665761082975 41.819234985114996),3990,8 W ROOT ST,ES,"PK, K, 1, 2, 3, 4, 5, 6",Charter,-87.6266576114,41.8192349857
610148,CHAVEZ,POINT (-87.6660919390561 41.807142082341045),5640,4747 S MARSHFIELD AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6660919392,41.8071420832
610167,SEWARD,POINT (-87.66871699667286 41.81033400045553),5820,4600 S HERMITAGE AVE,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6687169971,41.8103340013
610037,LIBBY,POINT (-87.65987781618836 41.79768559697338),4470,5300 S LOOMIS BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6598778157,41.7976855974
610062,MCCLELLAN,POINT (-87.64115759811344 41.829992061664456),4710,3527 S WALLACE ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6411575984,41.8299920621
610114,PARKMAN,POINT (-87.63299026028905 41.80176785613024),5280,245 W 51ST ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6329902601,41.801767857
610172,SHERMAN,POINT (-87.65020664450023 41.799726557596564),5890,1000 W 52ND ST,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6502066446,41.7997265584
610080,CICS - BASIL,POINT (-87.6702420276346 41.79400170125498),7130,1816 W GARFIELD BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.6702420279,41.7940017017
610236,CHICAGO CHILDRENS CHOIR CHARTER,POINT (-87.63270195209944 41.828146021786885),6530,3630 S WELLS ST,ES,"3, 4, 5, 6, 7, 8",Charter,-87.6327019525,41.8281460228
610018,CANTER,POINT (-87.59048583795119 41.80430730757049),4260,4959 S BLACKSTONE AVE,MS,"7, 8",Elementary School,-87.590485838,41.8043073079
610064,LOCKE CHARTER,POINT (-87.70523523723475 41.877289513434526),4730,3141 W JACKSON BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Charter,-87.7052352373,41.8772895141
610073,MITCHELL,POINT (-87.68318585237078 41.89212331975178),4840,2233 W OHIO ST,ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6831858522,41.8921233208
610121,IRVING,POINT (-87.68367070833396 41.87159465151238),5350,749 S OAKLEY BLVD,ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Elementary School,-87.6836707077,41.8715946526
