ages_15_17_2008,ages_15_17_2009,ages_18_19_2008,ages_18_19_2009,births_2008,births_2009,county,teen_mothers_rate_2008,teen_mothers_rate_2009,teens_2008,teens_2009,under_15_2008_,under_15_2009_
24,21,59,67,817,804,Adams,10.2,11.1,83,89,0,1
11,5,21,20,120,114,Alexander,26.7,21.9,32,25,0,0
4,3,16,16,173,198,Bond,11.6,10.6,20,21,0,2
24,11,50,45,676,622,Boone,10.9,9.2,74,57,0,1
1,2,2,2,64,65,Brown,4.7,6.2,3,4,0,0
9,11,21,29,409,381,Bureau,7.3,10.5,30,40,0,0
0,3,2,3,59,53,Calhoun,3.4,11.3,2,6,0,0
5,2,10,8,142,123,Carroll,10.6,8.1,15,10,0,0
7,8,20,10,200,164,Cass,13.5,11.6,27,19,0,1
74,66,166,136,2482,2407,Champaign,9.8,8.5,244,204,4,2
17,15,42,40,403,406,Christian,14.9,13.5,60,55,1,0
8,2,19,13,200,157,Clark,14.0,9.6,28,15,1,0
6,8,21,13,164,178,Clay,16.5,11.8,27,21,0,0
14,7,24,22,412,414,Clinton,9.2,7.0,38,29,0,0
12,18,56,36,608,537,Coles,11.8,10.1,72,54,4,0
2895,2533,5387,5090,77717,75744,Cook,10.8,10.2,8410,7714,128,91
2026,1765,3680,3487,45389,44449,  Cook - City of Chicago * ,12.8,12.0,5800,5323,94,71
869,768,1707,1603,32328,31295,  Cook - Suburban Cook,8.1,7.6,2610,2391,34,20
4,11,10,16,192,204,Crawford,7.8,13.2,15,27,1,0
1,3,13,14,133,128,Cumberland,10.5,13.3,14,17,0,0
20,24,59,68,1274,1322,DeKalb,6.2,7.0,79,92,0,0
7,6,17,14,202,186,DeWitt,11.9,10.8,24,20,0,0
5,6,18,17,298,270,Douglas,7.7,8.5,23,23,0,0
135,133,344,316,11312,10820,DuPage,4.3,4.2,482,452,3,3
9,5,18,15,192,203,Edgar,14.1,10.3,27,21,0,1
0,2,4,9,70,63,Edwards,5.7,17.5,4,11,0,0
10,11,37,33,416,480,Effingham,11.5,9.2,48,44,1,0
14,11,20,21,271,232,Fayette,13.3,13.8,36,32,2,0
7,5,19,11,158,157,Ford,16.5,10.2,26,16,0,0
24,19,53,32,476,476,Franklin,16.4,10.7,78,51,1,0
12,10,44,39,371,374,Fulton,15.1,13.1,56,49,0,0
0,3,5,7,56,58,Gallatin,8.9,17.2,5,10,0,0
6,6,17,17,167,145,Greene,14.4,15.9,24,23,1,0
8,12,21,37,695,705,Grundy,4.2,7.0,29,49,0,0
2,0,10,10,110,90,Hamilton,10.9,11.1,12,10,0,0
9,7,17,9,218,200,Hancock,11.9,8.0,26,16,0,0
4,1,1,3,47,43,Hardin,10.6,11.6,5,5,0,1
5,4,6,6,75,55,Henderson,14.7,18.2,11,10,0,0
14,27,47,45,575,537,Henry,10.6,13.4,61,72,0,0
9,11,26,24,322,309,Iroquois,10.9,11.7,35,36,0,1
20,18,61,52,703,691,Jackson,11.5,10.3,81,71,0,1
2,2,5,6,111,93,Jasper,6.3,8.6,7,8,0,0
